trID,time,oldVer,newVer,#oldT,#newT,#oldA,#newA,tIns,tDel,aIns,aDel,aTypeAlt,keyAlt,aTabIns,aTabDel
1,rev_1.002,rev_1.001.sql,rev_1.002.sql,15,15,81,81,0,0,0,0,1,1,0,0
2,rev_1.003,rev_1.002.sql,rev_1.003.sql,15,15,81,81,0,0,0,0,0,0,0,0
3,rev_1.004,rev_1.003.sql,rev_1.004.sql,15,15,81,81,0,0,0,0,0,0,0,0
4,rev_1.005,rev_1.004.sql,rev_1.005.sql,15,15,81,81,0,0,0,0,0,0,0,0
5,rev_1.006,rev_1.005.sql,rev_1.006.sql,15,15,81,81,0,0,0,0,0,0,0,0
6,rev_1.007,rev_1.006.sql,rev_1.007.sql,15,15,81,81,0,0,0,0,0,0,0,0
7,rev_1.008,rev_1.007.sql,rev_1.008.sql,15,15,81,81,0,0,0,0,0,0,0,0
8,rev_1.009,rev_1.008.sql,rev_1.009.sql,15,15,81,81,0,0,0,0,0,0,0,0
9,rev_1.010,rev_1.009.sql,rev_1.010.sql,15,14,81,77,0,1,0,2,0,0,0,2
10,rev_1.011,rev_1.010.sql,rev_1.011.sql,14,14,77,77,0,0,0,0,0,0,0,0
11,rev_1.012,rev_1.011.sql,rev_1.012.sql,14,14,77,78,0,0,1,0,0,0,0,0
12,rev_1.013,rev_1.012.sql,rev_1.013.sql,14,14,78,80,0,0,2,0,0,0,0,0
13,rev_1.014,rev_1.013.sql,rev_1.014.sql,14,15,80,84,1,0,0,0,0,0,4,0
14,rev_1.015,rev_1.014.sql,rev_1.015.sql,15,18,84,95,3,0,0,0,0,0,11,0
15,rev_1.016,rev_1.015.sql,rev_1.016.sql,18,19,95,101,1,0,0,0,0,0,6,0
16,rev_1.017,rev_1.016.sql,rev_1.017.sql,19,19,101,101,0,0,0,0,0,0,0,0
17,rev_1.018,rev_1.017.sql,rev_1.018.sql,19,19,101,102,0,0,1,0,0,0,0,0
18,rev_1.019,rev_1.018.sql,rev_1.019.sql,19,20,102,105,1,0,0,0,0,0,3,0
19,rev_1.020,rev_1.019.sql,rev_1.020.sql,20,20,105,105,0,0,0,0,0,0,0,0
20,rev_1.021,rev_1.020.sql,rev_1.021.sql,20,20,105,105,0,0,0,0,1,0,0,0
21,rev_1.022,rev_1.021.sql,rev_1.022.sql,20,19,105,102,0,1,0,0,0,0,0,3
22,rev_1.023,rev_1.022.sql,rev_1.023.sql,19,19,102,104,0,0,2,0,0,0,0,0
23,rev_1.024,rev_1.023.sql,rev_1.024.sql,19,19,104,105,0,0,1,0,0,0,0,0
24,rev_1.025,rev_1.024.sql,rev_1.025.sql,19,19,105,105,0,0,0,0,2,0,0,0
25,rev_1.026,rev_1.025.sql,rev_1.026.sql,19,19,105,105,0,0,0,0,0,0,0,0
26,rev_1.027,rev_1.026.sql,rev_1.027.sql,19,20,105,108,1,0,1,0,0,0,2,0
27,rev_1.028,rev_1.027.sql,rev_1.028.sql,20,20,108,107,0,0,0,1,0,0,0,0
28,rev_1.029,rev_1.028.sql,rev_1.029.sql,20,20,107,109,0,0,2,0,0,0,0,0
29,rev_1.030,rev_1.029.sql,rev_1.030.sql,20,20,109,110,0,0,1,0,0,0,0,0
30,rev_1.031,rev_1.030.sql,rev_1.031.sql,20,22,110,118,2,0,1,0,0,0,7,0
31,rev_1.032,rev_1.031.sql,rev_1.032.sql,22,22,118,118,0,0,0,0,0,0,0,0
32,rev_1.033,rev_1.032.sql,rev_1.033.sql,22,23,118,122,1,0,1,0,0,0,3,0
33,rev_1.034,rev_1.033.sql,rev_1.034.sql,23,23,122,122,0,0,1,1,0,0,0,0
