table,dur,birth,death,chngs,s@s,s@e,sAvg
hosts_templates,74,86,-,4,7,6,6.9594593
functions,160,0,-,3,6,6,6.0
history_str,128,32,-,1,3,3,3.0
sysmaps,147,13,-,3,4,7,5.272109
sysmaps_hosts,119,15,133,3,6,9,7.8235292
platforms,9,0,8,0,2,2,2.0
trigger_depends,134,26,-,0,2,2,2.0
triggers_template,160,0,-,0,4,4,4.0
media_type,105,55,-,1,7,8,7.0857143
stats,88,57,144,4,6,8,7.931818
history_log,68,92,-,4,3,7,6.632353
sysmaps_elements,26,134,-,2,11,11,11.0
trends,90,70,-,1,5,6,5.9888887
screens_items,108,52,-,12,7,15,10.453704
sessions,120,40,-,0,3,3,3.0
auditlog,15,145,-,2,6,6,6.0
hosts,160,0,-,14,5,11,8.50625
escalation_log,37,101,137,0,9,9,9.0
items_applications,16,144,-,0,2,2,2.0
profiles,113,47,-,2,4,5,4.141593
history_uint,49,111,-,0,3,3,3.0
history,160,0,-,1,3,3,3.0
triggers,160,0,-,8,8,12,10.1375
users,160,0,-,6,6,9,6.85625
alerts,160,0,-,13,7,16,10.8
conditions,39,121,-,0,5,5,5.0
actions,160,0,-,27,8,11,10.325
items,160,0,-,31,12,32,23.7125
escalations,53,85,137,1,2,3,2.7735848
media,160,0,-,4,5,7,6.0625
housekeeper,29,131,-,1,3,4,3.9655173
screens_graphs,3,61,63,0,7,7,7.0
service_alarms,118,42,-,0,4,4,4.0
graphs,146,14,-,11,4,11,6.1643834
servers,5,109,113,0,3,3,3.0
screens,108,52,-,4,4,4,4.0
audit,63,82,144,0,6,6,6.0
rights,122,38,-,0,5,5,5.0
acknowledges,26,134,-,0,5,5,5.0
users_groups,95,65,-,0,2,2,2.0
hosts_groups,116,44,-,0,2,2,2.0
usrgrp,95,65,-,0,2,2,2.0
alarms,160,0,-,3,4,5,4.85
groups,156,0,-,0,2,2,2.0
services_links,130,30,-,1,3,4,3.9461539
help_items,11,149,-,0,3,3,3.0
services,130,30,-,5,4,8,7.4615383
sysmaps_links,146,14,-,9,4,9,7.0958905
escalation_rules,42,96,137,4,4,6,5.928571
valuemaps,32,128,-,0,2,2,2.0
graphs_items,146,14,-,11,3,10,5.821918
help,3,18,20,0,3,3,3.0
mappings,32,128,-,0,4,4,4.0
items_template,160,0,-,2,5,5,4.84375
history_text,7,153,-,0,3,3,3.0
config,160,0,-,11,4,4,3.3125
autoreg,56,104,-,0,4,4,4.0
applications,16,144,-,0,4,4,4.0
